['abstractmethod', 'alexnet', 'helloworld', 'mobilenet']
Namespace(arch='mobilenet', budget=None, budget_ratio=0.25, dataset_path='data/', finetune_lr=0.001, gpus=[1], init_model_path='models/mobilenet/model.pth.tar', init_resource_reduction=None, init_resource_reduction_ratio=0.025, input_data_shape=[3, 224, 224], lookup_table_path=None, max_iters=30, resource_reduction_decay=0.96, resource_type='FLOPS', resume=False, save_interval=-1, short_term_fine_tune_iteration=500, working_folder='models/mobilenet/prune-by-mac')
Namespace(arch='mobilenet', batch_size=128, data='../data/', epochs=150, lr=0.001, momentum=0.9, no_cuda=False, resume='models/mobilenet/prune-by-mac/master/iter_0_best_model.pth.tar', save_dir='models/mobilenet/prune-by-mac/master/finetune_model.pth.tar', start_epoch=0, weight_decay=0.0005, workers=4)
Files already downloaded and verified
Files already downloaded and verified
Loading checkpoint 'models/mobilenet/prune-by-mac/master/iter_0_best_model.pth.tar'
Epoch [1/150]
===================================================================

Percent: [####------] 40.92% (160/391) ESA:    34.95s, loss: 0.21, acc: 48.44%
Percent: [####------] 41.18% (161/391) ESA:    34.82s, loss: 0.19, acc: 57.81%
Percent: [####------] 41.43% (162/391) ESA:    34.67s, loss: 0.19, acc: 54.69%
Percent: [####------] 41.69% (163/391) ESA:    34.49s, loss: 0.20, acc: 57.03%
Percent: [####------] 41.94% (164/391) ESA:    34.29s, loss: 0.21, acc: 52.34%
Percent: [####------] 42.20% (165/391) ESA:    34.10s, loss: 0.18, acc: 58.59%
Percent: [####------] 42.45% (166/391) ESA:    33.98s, loss: 0.21, acc: 54.69%
Percent: [####------] 42.71% (167/391) ESA:    33.79s, loss: 0.22, acc: 51.56%
Percent: [####------] 42.97% (168/391) ESA:    33.62s, loss: 0.21, acc: 53.12%
Percent: [####------] 43.22% (169/391) ESA:    33.48s, loss: 0.19, acc: 55.47%
Percent: [####------] 43.48% (170/391) ESA:    33.33s, loss: 0.20, acc: 57.03%
Percent: [####------] 43.73% (171/391) ESA:    33.14s, loss: 0.19, acc: 58.59%
Percent: [####------] 43.99% (172/391) ESA:    32.95s, loss: 0.21, acc: 55.47%
Percent: [####------] 44.25% (173/391) ESA:    32.87s, loss: 0.20, acc: 52.34%
Percent: [####------] 44.50% (174/391) ESA:    32.72s, loss: 0.19, acc: 57.03%
Percent: [####------] 44.76% (175/391) ESA:    32.52s, loss: 0.21, acc: 57.03%
Percent: [#####-----] 45.01% (176/391) ESA:    32.37s, loss: 0.20, acc: 53.12%
Percent: [#####-----] 45.27% (177/391) ESA:    32.18s, loss: 0.21, acc: 54.69%
Percent: [#####-----] 45.52% (178/391) ESA:    32.00s, loss: 0.20, acc: 57.03%
Percent: [#####-----] 45.78% (179/391) ESA:    31.84s, loss: 0.20, acc: 52.34%
Percent: [#####-----] 46.04% (180/391) ESA:    31.68s, loss: 0.19, acc: 56.25%
Percent: [#####-----] 46.29% (181/391) ESA:    31.50s, loss: 0.20, acc: 57.81%
Percent: [#####-----] 46.55% (182/391) ESA:    31.33s, loss: 0.19, acc: 53.91%
Percent: [#####-----] 46.80% (183/391) ESA:    31.15s, loss: 0.21, acc: 49.22%
Percent: [#####-----] 47.06% (184/391) ESA:    30.98s, loss: 0.19, acc: 57.03%
Percent: [#####-----] 47.31% (185/391) ESA:    30.83s, loss: 0.21, acc: 50.78%
Percent: [#####-----] 47.57% (186/391) ESA:    30.65s, loss: 0.21, acc: 54.69%
Percent: [#####-----] 47.83% (187/391) ESA:    30.47s, loss: 0.20, acc: 50.00%
Percent: [#####-----] 48.08% (188/391) ESA:    30.29s, loss: 0.21, acc: 53.12%
Percent: [#####-----] 48.34% (189/391) ESA:    30.11s, loss: 0.18, acc: 60.16%
Percent: [#####-----] 48.59% (190/391) ESA:    29.95s, loss: 0.20, acc: 54.69%
Percent: [#####-----] 48.85% (191/391) ESA:    29.79s, loss: 0.19, acc: 51.56%
Percent: [#####-----] 49.10% (192/391) ESA:    29.61s, loss: 0.20, acc: 51.56%
Percent: [#####-----] 49.36% (193/391) ESA:    29.43s, loss: 0.20, acc: 52.34%
Percent: [#####-----] 49.62% (194/391) ESA:    29.30s, loss: 0.21, acc: 51.56%
Percent: [#####-----] 49.87% (195/391) ESA:    29.15s, loss: 0.20, acc: 57.81%
Percent: [#####-----] 50.13% (196/391) ESA:    29.01s, loss: 0.22, acc: 46.09%
Percent: [#####-----] 50.38% (197/391) ESA:    28.84s, loss: 0.23, acc: 46.88%
Percent: [#####-----] 50.64% (198/391) ESA:    28.66s, loss: 0.20, acc: 49.22%
Percent: [#####-----] 50.90% (199/391) ESA:    28.53s, loss: 0.18, acc: 64.06%
Percent: [#####-----] 51.15% (200/391) ESA:    28.39s, loss: 0.18, acc: 61.72%
Percent: [#####-----] 51.41% (201/391) ESA:    28.23s, loss: 0.20, acc: 56.25%
Percent: [#####-----] 51.66% (202/391) ESA:    28.09s, loss: 0.21, acc: 45.31%
Percent: [#####-----] 51.92% (203/391) ESA:    27.91s, loss: 0.20, acc: 61.72%
Percent: [#####-----] 52.17% (204/391) ESA:    27.78s, loss: 0.20, acc: 54.69%
Percent: [#####-----] 52.43% (205/391) ESA:    27.63s, loss: 0.20, acc: 57.03%
Percent: [#####-----] 52.69% (206/391) ESA:    27.50s, loss: 0.20, acc: 55.47%
Percent: [#####-----] 52.94% (207/391) ESA:    27.33s, loss: 0.19, acc: 57.03%
Percent: [#####-----] 53.20% (208/391) ESA:    27.15s, loss: 0.20, acc: 46.88%
Percent: [#####-----] 53.45% (209/391) ESA:    27.01s, loss: 0.20, acc: 54.69%
Percent: [#####-----] 53.71% (210/391) ESA:    26.88s, loss: 0.22, acc: 40.62%
Percent: [#####-----] 53.96% (211/391) ESA:    26.70s, loss: 0.18, acc: 62.50%
Percent: [#####-----] 54.22% (212/391) ESA:    26.54s, loss: 0.20, acc: 55.47%
Percent: [#####-----] 54.48% (213/391) ESA:    26.41s, loss: 0.20, acc: 54.69%
Percent: [#####-----] 54.73% (214/391) ESA:    26.25s, loss: 0.19, acc: 64.06%
Percent: [#####-----] 54.99% (215/391) ESA:    26.10s, loss: 0.18, acc: 53.12%
Percent: [######----] 55.24% (216/391) ESA:    25.93s, loss: 0.19, acc: 54.69%
Percent: [######----] 55.50% (217/391) ESA:    25.78s, loss: 0.19, acc: 59.38%
Percent: [######----] 55.75% (218/391) ESA:    25.64s, loss: 0.20, acc: 53.12%
Percent: [######----] 56.01% (219/391) ESA:    25.48s, loss: 0.20, acc: 54.69%
Percent: [######----] 56.27% (220/391) ESA:    25.34s, loss: 0.21, acc: 51.56%
Percent: [######----] 56.52% (221/391) ESA:    25.20s, loss: 0.22, acc: 46.09%
Percent: [######----] 56.78% (222/391) ESA:    25.02s, loss: 0.22, acc: 46.09%
Percent: [######----] 57.03% (223/391) ESA:    24.85s, loss: 0.20, acc: 49.22%
Percent: [######----] 57.29% (224/391) ESA:    24.70s, loss: 0.20, acc: 56.25%
Percent: [######----] 57.55% (225/391) ESA:    24.53s, loss: 0.19, acc: 60.16%
Percent: [######----] 57.80% (226/391) ESA:    24.37s, loss: 0.22, acc: 48.44%
Percent: [######----] 58.06% (227/391) ESA:    24.22s, loss: 0.20, acc: 53.12%
Percent: [######----] 58.31% (228/391) ESA:    24.05s, loss: 0.21, acc: 50.78%
Percent: [######----] 58.57% (229/391) ESA:    23.91s, loss: 0.18, acc: 56.25%
Percent: [######----] 58.82% (230/391) ESA:    23.75s, loss: 0.21, acc: 53.12%
Percent: [######----] 59.08% (231/391) ESA:    23.60s, loss: 0.21, acc: 51.56%
Percent: [######----] 59.34% (232/391) ESA:    23.45s, loss: 0.21, acc: 54.69%
Percent: [######----] 59.59% (233/391) ESA:    23.28s, loss: 0.20, acc: 53.91%
Percent: [######----] 59.85% (234/391) ESA:    23.13s, loss: 0.21, acc: 51.56%
Percent: [######----] 60.10% (235/391) ESA:    22.97s, loss: 0.18, acc: 65.62%
Percent: [######----] 60.36% (236/391) ESA:    22.81s, loss: 0.20, acc: 50.78%
Percent: [######----] 60.61% (237/391) ESA:    22.64s, loss: 0.22, acc: 50.00%
Percent: [######----] 60.87% (238/391) ESA:    22.51s, loss: 0.19, acc: 64.06%
Percent: [######----] 61.12% (239/391) ESA:    22.37s, loss: 0.20, acc: 53.12%
Percent: [######----] 61.38% (240/391) ESA:    22.20s, loss: 0.21, acc: 53.12%
Percent: [######----] 61.64% (241/391) ESA:    22.03s, loss: 0.18, acc: 57.81%
Percent: [######----] 61.89% (242/391) ESA:    21.89s, loss: 0.20, acc: 54.69%
Percent: [######----] 62.15% (243/391) ESA:    21.73s, loss: 0.20, acc: 52.34%
Percent: [######----] 62.40% (244/391) ESA:    21.57s, loss: 0.21, acc: 50.00%
Percent: [######----] 62.66% (245/391) ESA:    21.43s, loss: 0.20, acc: 60.16%
Percent: [######----] 62.92% (246/391) ESA:    21.26s, loss: 0.20, acc: 48.44%
Percent: [######----] 63.17% (247/391) ESA:    21.11s, loss: 0.21, acc: 54.69%
Percent: [######----] 63.43% (248/391) ESA:    20.96s, loss: 0.19, acc: 57.81%
Percent: [######----] 63.68% (249/391) ESA:    20.80s, loss: 0.19, acc: 58.59%
Percent: [######----] 63.94% (250/391) ESA:    20.64s, loss: 0.21, acc: 58.59%
Percent: [######----] 64.19% (251/391) ESA:    20.50s, loss: 0.23, acc: 44.53%
Percent: [######----] 64.45% (252/391) ESA:    20.34s, loss: 0.20, acc: 53.12%
